Report_Month,Community_ID,Unit_Type,New_Leads,Email_Leads,Call_Leads,Online_Leads,Walk_In_Leads,Off_Site_Event_Leads,Chat_Leads,Text_Leads,Other_Leads,Emails,Calls,Chats,Texts,First_Visits_Tours,Source_File_Name,Source_Sheet
2026-04-01,DOR,B4-L,2,0,0,1,1,0,0,0,0,11,8,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,L1,2,0,1,1,0,0,0,0,0,9,18,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S1,6,0,0,5,1,0,0,0,0,17,13,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S2,3,0,1,2,0,0,0,0,0,8,3,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S5,9,0,1,7,0,0,0,0,1,26,7,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,Unknown,89,28,17,7,6,0,2,3,26,461,174,5,54,14,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,FLO,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,FLO,B1,4,0,2,1,0,0,1,0,0,45,19,0,7,1,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,FLO,C1,31,0,3,14,8,0,0,0,6,339,177,0,173,14,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,FLO,Unknown,96,1,16,19,29,0,0,1,30,699,193,0,169,43,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,SER,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,A1,17,0,3,7,3,0,0,0,4,56,95,0,53,10,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,A2,8,0,3,2,2,0,0,1,0,26,19,0,39,6,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,B1,14,0,4,6,3,0,0,0,1,56,68,0,45,5,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,B3,10,0,0,5,4,0,0,0,1,37,47,0,13,6,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,C1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,S1,10,0,3,7,0,0,0,0,0,26,50,0,41,4,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,TB2,5,0,3,2,0,0,0,0,0,15,29,0,9,2,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,TC1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,Unknown,152,0,43,36,21,0,0,0,52,681,193,0,235,38,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,STA,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,STA,B1,4,0,1,2,0,0,0,0,1,3,1,0,1,0,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,STA,C1,7,0,2,3,0,0,0,0,2,4,19,1,7,2,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,STA,Unknown,28,0,14,8,0,0,0,0,6,88,52,0,41,2,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
